ts,iso,hour_bucket,symbol,market_id,mark_price,index_price,last_trade_price,basis_bps,open_interest,oi_notional,daily_quote_volume,daily_base_volume,daily_trades,daily_price_low,daily_price_high,daily_price_change,funding_rate,funding_exchange,funding_clamp_small,funding_clamp_big,base_interest_rate,best_bid,best_ask,spread_bps,bid_sz_l1,ask_sz_l1,bid_base_top50,ask_base_top50,depth_imb_top50,bid_notional_band,ask_notional_band,depth_imb_band
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,SPY,26,771.46,771.3,771.47,2.074,60048.0819,46324693.26,42152977.043312,54707.5364,88698,769.48,771.58,0.02074392915948192,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,ASTS,47,62.311,62.303,62.142,1.284,43.592,2716.26,5344.273576,85.892,27,61.963,62.389,-0.3367975365665897,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,SMCI,53,39.857,39.799,39.971,14.573,122.713,4890.97,14313.175778,360.62100000000004,18,39.494,39.971,0.4018989726457512,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,NVDA,15,231.27,231.22,231.23,2.162,14092.9175,3259269.03,2087995.402545,9051.5838,14207,229.94,232.47,-0.26311249137336096,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,SGOV,27,100.49,100.48,100.48,0.995,1976.3158,198599.97,82452.632678,820.5177,30,100.44,100.54,0.039824771007566706,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,ANSEM,39,0.24269,0.2396,0.24194,128.965,194138.6,47115.5,95705.858337,404384.2,1432,0.22399,0.25378,2.4561700686033707,0.009504,lighter,0.05,4.0,0.01,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,SOXL,35,116.2,116.2,116.26,0.0,1292.689,150210.46,536103.342426,4599.0478,835,115.23,118.18,-1.021624382768602,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,BE,20,265.47,265.42,265.53,1.884,876.5029,232685.22,1070768.023342,4025.7779,2682,243.6,276.28,7.193896088167615,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,RGTI,52,15.239,15.219,15.242,13.141,100.01,1524.05,2950.434143,193.986,12,15.164,15.296,0.3423304805793285,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,WULF,55,16.515,16.515,16.455,0.0,203.897,3367.36,4464.762897,270.766,8,16.455,16.529,-0.2666828292623795,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,ORCL,17,159.69,159.63,159.66,3.759,980.1993,156528.03,180793.043018,1142.8237,148,157.06,159.66,0.776368112099981,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,LUNR,50,14.875,14.874,14.823,0.672,234.827,3493.05,4306.607268,287.451,15,14.823,15.02,-1.311584553928096,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,SLV,28,60.082,60.081,59.992,0.166,1728.745,103866.46,50221.668489,836.7,145,59.621,60.125,0.22051453391246242,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,USAR,21,17.632,17.635,17.652,-1.701,12764.114,225056.86,283951.653542,16218.048,299,17.249,17.674,0.3467682337558979,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,NEAR,7,2.1769,2.177,2.1775,-0.459,54388.29,118397.87,330747.463659,150506.38999999998,935,1.942,2.2866,10.191791913364709,9.599999999999999e-05,lighter,0.05,4.0,0.01,2.1763,2.1776,5.972,298.27,1836.89,157560.0,155061.71,0.008,112805.77,71895.31,0.2215
1788623490,2026-09-05T15:51:30.464919+00:00,2026-09-05T15,TSM,46,426.63,426.63,426.74,0.0,51.7037,22058.35,190300.163013,445.6819,126,425.02,429.3,-0.2617678679942037,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
